,Movie,Released Year,Certificate,Duration,Genre,Rating,Metascore,Votes
214,Flora & Ulysses,2021,PG,95 min,"Adventure, Comedy, Family",6.3,62,"4,807"
215, Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",9.7,Not available,"4,794"
216, The Walking Dead,2010–2022,TV-MA,42 min,"Drama, Horror, Thriller",7.3,Not available,"4,776"
217, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.6,Not available,"4,742"
218, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.8,Not available,"4,726"
219, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.8,Not available,"4,692"
220, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.6,Not available,"4,678"
221,Murder Among the Mormons,2021,TV-14,160 min,"Documentary, Crime, History",7.0,Not available,"4,665"
222,Cruel Summer,2021– ,TV-14,45 min,"Drama, Mystery, Thriller",7.5,Not available,"4,650"
223, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.5,Not available,"4,640"
224, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.7,Not available,"4,637"
225, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.6,Not available,"4,626"
226, Broken But Beautiful,2018– ,"
Drama, Romance            ",Not available,"Drama, Romance",9.6,Not available,"4,625"
227,The Legend of Hanuman,2021– ,25 min,25 min,Animation,9.4,Not available,"4,618"
228, The Walking Dead,2010–2022,TV-MA,48 min,"Drama, Horror, Thriller",7.5,Not available,"4,604"
229, Invincible,2021– ,TV-MA,42 min,"Animation, Action, Adventure",8.3,Not available,"4,567"
230, Mare of Easttown,2021,TV-MA,57 min,"Crime, Drama, Mystery",9.4,Not available,"4,535"
231,50M2,2021– ,TV-MA,45 min,"Comedy, Drama, Thriller",7.0,Not available,"4,518"
232,Panic,2021– ,TV-14,Not available,"Adventure, Crime, Drama",6.4,Not available,"4,501"
233,Invisible City,2021– ,TV-G,60 min,"Crime, Drama, Fantasy",7.4,Not available,"4,497"
234, Invincible,2021– ,TV-MA,45 min,"Animation, Action, Adventure",7.7,Not available,"4,485"
235,Mandela,2021,140 min,140 min,"Comedy, Drama",8.5,Not available,"4,485"
236,Crazy About Her,2021,TV-MA,102 min,"Comedy, Romance",6.6,Not available,"4,472"
